anio,region,huelgas,trabajadores_comprendidos,horas_hombre_perdidas,huelgas_anio_total,trabajadores_anio_total,horas_anio_total,participacion_huelgas_anual,participacion_trabajadores_anual,participacion_horas_anual,rank_region_huelgas
1994,lima,101.0,36975.0,1048396.0,168.0,62940.0,1936647.0,0.6011904761904762,0.5874642516682554,0.5413459448211264,1
1994,arequipa,20.0,6632.0,221879.0,168.0,62940.0,1936647.0,0.11904761904761904,0.10537019383539879,0.1145686333131438,2
1994,grau,8.0,6291.0,70304.0,168.0,62940.0,1936647.0,0.047619047619047616,0.09995233555767398,0.036301917695893984,3
1994,andres_a_caceres,7.0,6198.0,396152.0,168.0,62940.0,1936647.0,0.041666666666666664,0.0984747378455672,0.2045556056421227,4
1994,la_libertad,7.0,1023.0,11752.0,168.0,62940.0,1936647.0,0.041666666666666664,0.016253574833174453,0.00606821996987577,5
1994,nor_oriental_del_maranon,7.0,1847.0,76740.0,168.0,62940.0,1936647.0,0.041666666666666664,0.02934540832538926,0.039625187243725886,6
1994,libertadores_wari,4.0,833.0,14104.0,168.0,62940.0,1936647.0,0.023809523809523808,0.013234826819192882,0.007282690134030621,7
1994,moquegua_tacna_puno,4.0,680.0,13528.0,168.0,62940.0,1936647.0,0.023809523809523808,0.010803940260565617,0.006985268869339637,8
1994,chavin,3.0,1146.0,14840.0,168.0,62940.0,1936647.0,0.017857142857142856,0.018207816968541467,0.007662728416691323,9
1994,inka,3.0,1069.0,66064.0,168.0,62940.0,1936647.0,0.017857142857142856,0.016984429615506832,0.034112566719696466,10
1994,loreto,3.0,194.0,2472.0,168.0,62940.0,1936647.0,0.017857142857142856,0.003082300603749603,0.0012764329276321394,11
1994,san_martin,1.0,52.0,416.0,168.0,62940.0,1936647.0,0.005952380952380952,0.0008261836669844296,0.0002148042467212662,12
1995,lima,45.0,15029.0,442042.0,102.0,28182.0,1048753.0,0.4411764705882353,0.5332836562344759,0.421492954013004,1
1995,grau,16.0,3914.0,61928.0,102.0,28182.0,1048753.0,0.1568627450980392,0.13888297494854873,0.05904917554467067,2
1995,andres_a_caceres,9.0,2529.0,76760.0,102.0,28182.0,1048753.0,0.08823529411764706,0.08973813072173728,0.07319168574487987,3
1995,arequipa,7.0,2168.0,285119.0,102.0,28182.0,1048753.0,0.06862745098039216,0.07692853594492939,0.27186477654891095,4
1995,la_libertad,6.0,1755.0,36712.0,102.0,28182.0,1048753.0,0.058823529411764705,0.062273791781988504,0.03500538258293421,5
1995,libertadores_wari,6.0,746.0,113712.0,102.0,28182.0,1048753.0,0.058823529411764705,0.02647079696260024,0.1084259115349372,6
1995,chavin,5.0,817.0,13216.0,102.0,28182.0,1048753.0,0.049019607843137254,0.028990135547512598,0.012601632605580152,7
1995,nor_oriental_del_maranon,4.0,401.0,6936.0,102.0,28182.0,1048753.0,0.0392156862745098,0.014228940458448655,0.006613568685858348,8
1995,loreto,3.0,805.0,11896.0,102.0,28182.0,1048753.0,0.029411764705882353,0.028564331843020367,0.011342994966402956,9
1995,moquegua_tacna_puno,1.0,18.0,432.0,102.0,28182.0,1048753.0,0.00980392156862745,0.0006387055567383436,0.0004119177728216272,10
1996,lima,26.0,20231.0,273540.0,75.0,35642.0,1392846.0,0.3466666666666667,0.5676168565175916,0.1963892634217997,1
1996,chavin,11.0,3475.0,185122.0,75.0,35642.0,1392846.0,0.14666666666666667,0.097497334605241,0.13290916583742926,2
1996,grau,10.0,4442.0,168088.0,75.0,35642.0,1392846.0,0.13333333333333333,0.12462824757308794,0.12067952953880041,3
1996,andres_a_caceres,8.0,2267.0,108728.0,75.0,35642.0,1392846.0,0.10666666666666667,0.06360473598563493,0.07806175269914979,4
1996,la_libertad,7.0,830.0,7464.0,75.0,35642.0,1392846.0,0.09333333333333334,0.0232871331575108,0.005358812101266041,5
1996,moquegua_tacna_puno,5.0,1699.0,218432.0,75.0,35642.0,1392846.0,0.06666666666666667,0.04766848100555524,0.15682422895280598,6
1996,arequipa,2.0,560.0,6208.0,75.0,35642.0,1392846.0,0.02666666666666667,0.0157118006845856,0.004457061297516021,7
1996,inka,2.0,636.0,40896.0,75.0,35642.0,1392846.0,0.02666666666666667,0.01784411649177936,0.029361465660956057,8
1996,libertadores_wari,2.0,1353.0,378840.0,75.0,35642.0,1392846.0,0.02666666666666667,0.03796083272543628,0.2719898682266381,9
1996,loreto,2.0,149.0,5528.0,75.0,35642.0,1392846.0,0.02666666666666667,0.004180461253577241,0.003968852263638622,10
1997,lima,20.0,11544.0,168938.0,66.0,18854.0,313838.0,0.30303030303030304,0.6122838654927336,0.538296828299951,1
1997,chavin,13.0,888.0,47160.0,66.0,18854.0,313838.0,0.19696969696969696,0.04709875888405644,0.1502686099197675,2
1997,grau,8.0,1605.0,28166.0,66.0,18854.0,313838.0,0.12121212121212122,0.08512782433435875,0.08974693950382044,3
1997,inka,8.0,1662.0,8292.0,66.0,18854.0,313838.0,0.12121212121212122,0.08815105547894346,0.026421274670371336,4
1997,arequipa,6.0,1470.0,7320.0,66.0,18854.0,313838.0,0.09090909090909091,0.07796754004455288,0.02332413538194865,5
1997,la_libertad,4.0,511.0,34978.0,66.0,18854.0,313838.0,0.06060606060606061,0.02710300201548743,0.1114524053811202,6
1997,libertadores_wari,4.0,603.0,9400.0,66.0,18854.0,313838.0,0.06060606060606061,0.03198260316113292,0.029951758550589794,7
1997,andres_a_caceres,3.0,571.0,9584.0,66.0,18854.0,313838.0,0.045454545454545456,0.030285350588734487,0.030538048292431126,8
1998,lima,23.0,9395.0,193080.0,58.0,16624.0,317496.0,0.39655172413793105,0.5651467757459095,0.6081336457782145,1
1998,andres_a_caceres,8.0,1490.0,33581.0,58.0,16624.0,317496.0,0.13793103448275862,0.08962945139557267,0.10576826164739084,2
1998,arequipa,8.0,2209.0,13307.0,58.0,16624.0,317496.0,0.13793103448275862,0.13288017324350337,0.041912339053090435,3
1998,moquegua_tacna_puno,5.0,898.0,23184.0,58.0,16624.0,317496.0,0.08620689655172414,0.05401828681424447,0.07302139239549475,4
1998,la_libertad,4.0,707.0,12112.0,58.0,16624.0,317496.0,0.06896551724137931,0.0425288739172281,0.038148512107239144,5
1998,grau,3.0,795.0,12640.0,58.0,16624.0,317496.0,0.05172413793103448,0.04782242540904716,0.039811525184569256,6
1998,chavin,2.0,402.0,3376.0,58.0,16624.0,317496.0,0.034482758620689655,0.024181905678537056,0.010633204827777357,7
1998,inka,2.0,414.0,12472.0,58.0,16624.0,317496.0,0.034482758620689655,0.024903753609239652,0.03928238465996422,8
1998,libertadores_wari,2.0,231.0,5776.0,58.0,16624.0,317496.0,0.034482758620689655,0.013895572666025023,0.01819235517927785,9
1998,san_martin,1.0,83.0,7968.0,58.0,16624.0,317496.0,0.017241379310344827,0.004992781520692974,0.025096379166981632,10
1999,lima,25.0,23677.0,293252.0,71.0,45586.0,672308.0,0.352112676056338,0.5193919185714913,0.43618698572678,1
1999,arequipa,11.0,6929.0,131848.0,71.0,45586.0,672308.0,0.15492957746478872,0.15199842056771815,0.1961124960583542,2
1999,junin,7.0,3203.0,54637.0,71.0,45586.0,672308.0,0.09859154929577464,0.07026279998245075,0.08126781177674518,3
1999,lambayeque,7.0,1198.0,15523.0,71.0,45586.0,672308.0,0.09859154929577464,0.026279998245075244,0.023089119867679694,4
1999,piura,5.0,2977.0,23756.0,71.0,45586.0,672308.0,0.07042253521126761,0.06530513754222787,0.035334995270025045,5
1999,ancash,4.0,653.0,9276.0,71.0,45586.0,672308.0,0.056338028169014086,0.014324573333918308,0.013797247690046824,6
1999,cusco,4.0,3066.0,76208.0,71.0,45586.0,672308.0,0.056338028169014086,0.06725749133505901,0.11335280853418374,7
1999,pasco,3.0,1575.0,44880.0,71.0,45586.0,672308.0,0.04225352112676056,0.03455008116527004,0.06675511818987725,8
1999,ica,2.0,1159.0,10424.0,71.0,45586.0,672308.0,0.028169014084507043,0.025424472425744745,0.015504798395973273,9
1999,moquegua,2.0,926.0,8608.0,71.0,45586.0,672308.0,0.028169014084507043,0.020313254069231783,0.012803655467434569,10
1999,la_libertad,1.0,223.0,3896.0,71.0,45586.0,672308.0,0.014084507042253521,0.004891852761812837,0.005794963022900218,11
2000,lambayeque,7.0,1211.0,18543.0,37.0,5280.0,181691.0,0.1891891891891892,0.22935606060606062,0.10205788949370084,1
2000,lima_provincia,7.0,1119.0,113304.0,37.0,5280.0,181691.0,0.1891891891891892,0.2119318181818182,0.623608213945655,2
2000,piura,7.0,970.0,9056.0,37.0,5280.0,181691.0,0.1891891891891892,0.18371212121212122,0.049842865084126345,3
2000,arequipa,4.0,530.0,10604.0,37.0,5280.0,181691.0,0.10810810810810811,0.10037878787878787,0.05836282479594476,4
2000,pasco,4.0,575.0,8112.0,37.0,5280.0,181691.0,0.10810810810810811,0.10890151515151515,0.04464723073790116,5
2000,ancash,3.0,533.0,9424.0,37.0,5280.0,181691.0,0.08108108108108109,0.1009469696969697,0.051868281863163286,6
2000,cusco,1.0,120.0,1920.0,37.0,5280.0,181691.0,0.02702702702702703,0.022727272727272728,0.010567391890627494,7
2000,huancavelica,1.0,169.0,4056.0,37.0,5280.0,181691.0,0.02702702702702703,0.032007575757575756,0.02232361536895058,8
2000,junin,1.0,37.0,5824.0,37.0,5280.0,181691.0,0.02702702702702703,0.007007575757575758,0.032054422068236735,9
2000,puno,1.0,5.0,576.0,37.0,5280.0,181691.0,0.02702702702702703,0.000946969696969697,0.003170217567188248,10
2000,san_martin,1.0,11.0,272.0,37.0,5280.0,181691.0,0.02702702702702703,0.0020833333333333333,0.0014970471845055617,11
2001,lima_provincia,15.0,1350.0,77178.0,41.0,11069.0,489842.0,0.36585365853658536,0.12196223687776674,0.1575569265191633,1
2001,pasco,8.0,1042.0,22248.0,41.0,11069.0,489842.0,0.1951219512195122,0.09413677839009847,0.045418726854781745,2
2001,lambayeque,5.0,3633.0,281256.0,41.0,11069.0,489842.0,0.12195121951219512,0.3282139307977234,0.5741769795158439,3
2001,piura,5.0,1027.0,17104.0,41.0,11069.0,489842.0,0.12195121951219512,0.09278164242478995,0.03491738152302171,4
2001,la_libertad,2.0,2738.0,64640.0,41.0,11069.0,489842.0,0.04878048780487805,0.2473574848676484,0.1319609180102972,5
2001,ancash,1.0,19.0,152.0,41.0,11069.0,489842.0,0.024390243902439025,0.0017165055560574578,0.00031030413888559987,6
2001,arequipa,1.0,257.0,2056.0,41.0,11069.0,489842.0,0.024390243902439025,0.023217996205619297,0.004197271773347324,7
2001,callao,1.0,19.0,912.0,41.0,11069.0,489842.0,0.024390243902439025,0.0017165055560574578,0.001861824833313599,8
2001,huancavelica,1.0,248.0,7936.0,41.0,11069.0,489842.0,0.024390243902439025,0.022404914626434187,0.016201142409185004,9
2001,huanuco,1.0,46.0,5520.0,41.0,11069.0,489842.0,0.024390243902439025,0.004155750293612793,0.011268939780582311,10
2001,junin,1.0,665.0,10640.0,41.0,11069.0,489842.0,0.024390243902439025,0.06007769446201102,0.02172128972199199,11
2001,cusco,0.0,25.0,200.0,41.0,11069.0,489842.0,0.0,0.0022585599421808653,0.0004082949195863156,12
2002,junin,14.0,2743.0,105224.0,70.0,22924.0,899432.0,0.2,0.11965625545280056,0.11698938885874641,1
2002,lima_provincia,13.0,2712.0,178920.0,70.0,22924.0,899432.0,0.18571428571428572,0.1183039609143256,0.1989255441211787,2
2002,pasco,7.0,3730.0,158360.0,70.0,22924.0,899432.0,0.1,0.16271156866166464,0.1760666731893017,3
2002,arequipa,6.0,3897.0,86104.0,70.0,22924.0,899432.0,0.08571428571428572,0.16999651020764264,0.0957315283423316,4
2002,callao,6.0,255.0,2520.0,70.0,22924.0,899432.0,0.08571428571428572,0.011123713139068226,0.002801768227058855,5
2002,ancash,4.0,1796.0,24748.0,70.0,22924.0,899432.0,0.05714285714285714,0.07834583842261385,0.02751514289017958,6
2002,la_libertad,4.0,2211.0,76128.0,70.0,22924.0,899432.0,0.05714285714285714,0.09644913627639155,0.08464008396410179,7
2002,lambayeque,4.0,733.0,19952.0,70.0,22924.0,899432.0,0.05714285714285714,0.03197522247426278,0.022182888756459632,8
2002,ica,3.0,1200.0,137496.0,70.0,22924.0,899432.0,0.04285714285714286,0.05234688536032106,0.15286981116971599,9
2002,piura,3.0,641.0,13588.0,70.0,22924.0,899432.0,0.04285714285714286,0.027961961263304833,0.015107312170347508,10
